#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
49.501	427	49.525	448
49.551	448	49.576	451
49.602	468	49.627	457
49.652	483	49.678	465
49.703	495	49.728	473
49.754	501	49.779	481
49.805	504	49.829	489
49.855	500	49.881	498
49.906	492	49.931	506
49.956	479	49.982	513
50.008	462	50.032	517
50.058	443	50.083	520
50.109	422	50.133	521
50.159	400	50.185	521
50.210	378	50.235	517
50.260	357	50.286	512
50.312	340	50.336	505
50.362	326	50.387	497
50.413	316	50.438	489
50.463	311	50.489	478
50.514	311	50.539	468
50.565	315	50.590	459
50.616	324	50.640	451
50.666	337	50.692	444
50.717	354	50.742	439
50.767	374	50.793	436
50.819	395	50.843	436
50.869	416	50.894	439
50.920	436	50.944	441
50.970	456	50.996	448
51.021	471	51.047	457
51.071	484	51.097	466
51.123	491	51.148	477
51.173	495	51.198	487
51.224	494	51.250	497
51.274	489	51.300	507
51.325	479	51.351	516
51.376	465	51.401	523
51.427	448	51.452	526
51.477	430	51.503	529
51.528	409	51.554	528
51.578	389	51.604	527
51.630	370	51.655	521
51.680	353	51.705	512
51.731	338	51.757	504
51.781	328	51.807	493
51.832	322	51.858	483
51.882	318	51.908	472
51.934	321	51.959	461
51.984	327	52.009	450
52.035	339	52.061	442
52.085	352	52.111	435
52.136	368	52.162	432
52.187	386	52.212	429
52.238	406	52.263	430
52.288	426	52.314	434
52.339	443	52.365	440
52.389	458	52.415	449
52.441	471	52.466	459
52.491	480	52.516	470
52.542	486	52.568	482
52.592	487	52.618	494
52.643	483	52.669	506
52.693	476	52.719	516
52.745	464	52.770	525
52.795	451	52.820	531
52.846	435	52.872	535
52.896	418	52.922	536
52.947	398	52.973	534
52.998	381	53.023	529
53.049	365	53.074	521
53.099	351	53.125	513
53.150	340	53.176	501
53.200	332	53.226	489
53.252	329	53.277	475
53.302	328	53.327	463
53.353	333	53.379	451
53.403	340	53.429	441
53.454	352	53.480	432
53.504	365	53.530	426
53.556	381	53.581	424
53.606	398	53.631	424
53.657	416	53.683	426
53.707	432	53.733	433
53.758	446	53.784	441
53.809	459	53.834	452
53.860	469	53.885	464
53.910	475	53.936	477
53.961	477	53.987	490
54.011	476	54.037	503
54.063	471	54.088	515
54.113	462	54.138	526
54.164	452	54.190	534
54.214	438	54.240	538
54.265	423	54.291	542
54.316	407	54.341	540
54.367	392	54.392	537
54.417	376	54.442	530
54.468	362	54.494	520
54.518	352	54.544	508
54.569	344	54.595	495
54.620	339	54.645	482
54.671	337	54.696	467
54.721	339	54.747	455
54.772	345	54.798	442
54.822	353	54.848	432
54.874	365	54.899	424
54.924	379	54.949	420
54.975	392	55.001	418
55.025	407	55.051	420
55.076	422	55.102	424
55.127	435	55.152	434
55.178	447	55.203	444
55.228	457	55.253	457
55.279	464	55.305	470
55.329	467	55.355	484
55.380	467	55.406	499
55.431	465	55.456	513
55.482	459	55.507	525
55.533	450	55.558	534
55.583	439	55.609	542
55.634	427	55.659	545
55.685	413	55.710	546
55.736	400	55.760	543
55.786	387	55.812	536
55.837	374	55.862	527
55.887	363	55.913	516
55.939	356	55.963	503
55.989	350	56.014	488
56.040	348	56.064	473
56.090	348	56.116	459
56.141	352	56.166	445
56.191	358	56.217	433
56.243	367	56.267	424
56.293	376	56.318	417
56.344	388	56.369	415
56.394	400	56.420	416
56.445	413	56.470	419
56.496	426	56.521	426
56.547	436	56.571	436
56.597	445	56.623	449
56.648	452	56.673	462
56.698	457	56.724	478
56.750	457	56.774	493
56.800	456	56.825	509
